crate_name,version,time_basic,time_horn,dependency_count
agave-librapay-api,0.1.0,0.8090315409936011,0.6650149589404464,0.0
agave-loader-v4-program,0.1.0,0.6937295000534505,0.6609728750772774,0.0
agave-local-cluster,0.1.0,0.7129564171191305,0.7235431249719113,0.0
agave-logger,0.1.0,0.6847718330100179,0.6048261669930071,0.0
agave-lualoader,0.1.0,0.7012509589549154,0.6651640420313925,0.0
agave-measure,0.1.0,0.687646625097841,0.6025220421142876,0.0
agave-memory-management,0.1.0,0.8055786669719964,0.6154088750481606,0.0
agave-merkle-tree,0.1.0,0.6888311670627445,0.6042625829577446,0.0
agave-metrics,0.1.0,0.6501065001357347,0.6596508750226349,0.0
agave-move-loader-api,0.1.0,0.6845497919712216,0.6496391668915749,0.0
agave-move-loader-program,0.1.0,0.6749902500305325,0.6080569580662996,0.0
agave-native-loader,0.1.0,0.7030184159521013,0.6579767498187721,0.0
agave-net-utils,0.1.0,0.6534180419985205,0.6134214161429554,0.0
agave-netutil,0.1.0,0.7517592918593436,0.605034250067547,0.0
agave-nohash-hasher,0.1.0,0.6620654580183327,0.6597759588621557,0.0
agave-noop,0.1.0,0.749728666851297,0.6730737921316177,0.0
agave-noop-program,0.1.0,0.7649504169821739,0.6711429171264172,0.0
agave-notifier,0.1.0,0.7061191250104457,0.6534433329943568,0.0
agave-ownable,0.1.0,0.6849622500594705,0.6664568749256432,0.0
agave-perf,0.1.0,0.7407392498571426,0.6663854578509927,0.0
air-execution-info-collector,0.7.14,215.11463604099117,0.7123744999989867,31.0
air-interpreter-cid,0.9.0,600.0149825001135,30.24001258285716,38.0
air-interpreter-data,0.17.2,53.88859854196198,0.7725649999920279,124.0
air-interpreter-interface,0.19.0,600.0155828751158,12.524088457925243,21.0
air-interpreter-sede,0.1.0,600.0290323330555,4.5556354590225965,14.0
air-interpreter-signatures,0.1.7,600.0271639579441,155.1402494579088,86.0
air-interpreter-value,0.1.0,600.05256512505,2.7451728750020266,10.0
air-interpreter-wasm,0.64.1,1.2975489168893546,0.9241397499572486,0.0
air-interpreter-wasm_branch_release,0.0.0,0.666226375149563,0.6142420000396669,0.0
air-interpreter-wasm_ci_fix_version_increment,0.0.1,0.6634117499925196,0.6553815831430256,0.0
air-interpreter-wasm_crate_release,0.0.18,0.6570705419871956,0.6596434169914573,0.0
air-interpreter-wasm_fix,0.0.0,0.7228136251214892,0.6681400828529149,0.0
air-interpreter-wasm_fold_iterable,0.0.9,0.669101791922003,0.6041576249990612,0.0
air-interpreter-wasm_get_rid_current_peer_id,0.0.4,0.7116797091439366,0.600645791972056,0.0
air-interpreter-wasm_jvalue_flatten,0.0.5,0.660417707869783,0.6571440831758082,0.0
air-interpreter-wasm_logger-i32,0.0.5,0.6657891250215471,0.6594628330785781,0.0
air-interpreter-wasm_new_it_types,0.0.3,0.6621513748541474,0.603036249987781,0.0
air-interpreter-wasm_new_stepper_outcome,0.0.13,0.7193104161415249,0.6186766671016812,0.0
air-interpreter-wasm_prerelease,0.0.1,0.669165707891807,0.6714806670788676,0.0
air-interpreter-wasm_security_tetraplets_reborn,0.0.18,0.664773958036676,0.6569641248788685,0.0
arduino_mkrzero,0.12.2,600.0378471661825,37.68904162500985,46.0
arduino_nano33iot,0.7.2,600.0273185421247,48.6973569591064,49.0
arduino_nano_connect,0.7.0,0.6076175419148058,0.6187095420900732,54.0
arduinors,0.1.1,600.026719625108,2.9441461670212448,11.0
are,0.0.2,0.6572879170998931,0.6606794998515397,0.0
are_we_touching,0.2.8,4.017200000118464,0.7717971671372652,2.0
area_crate,0.1.1,0.6642210830468684,0.6037794589065015,0.0
area_func,0.1.1,0.727307999972254,0.5988475421909243,0.0
area_function,0.1.0,0.7166458750143647,0.6147336249705404,0.0
areaportal2d,0.1.1,600.0434141249862,1.685505290981382,7.0
arecibo,0.1.1,0.6028335001319647,0.6633307079318911,99.0
aredis,0.0.4,600.0236411248334,19.67810962512158,35.0
areion,0.1.0,0.6776165829505771,0.6056299998890609,0.0
arel,0.3.8,600.0490328329615,90.4380364997778,62.0
arel-macros,0.3.8,600.049312209012,1.4099316669162365,7.0
arel_macro,0.0.9,600.032799749868,1.2471898749936372,6.0
arelith_combat_simulator,1.5.1,600.0260850831401,3.6545941249933094,10.0
aren_alloc,0.3.0,0.6638422498945147,0.7206053328700364,0.0
arena-alloc,0.1.2,0.6549443749245256,0.6132908328436315,0.0
aws-sdk-arczonalshift,1.63.0,600.0265620830469,156.2018282089848,75.0
aws-sdk-artifact,1.52.0,600.0209022080526,159.3154366670642,75.0
aws-sdk-athena,1.66.0,600.0255573748145,158.54124987497926,75.0
aws-sdk-auditmanager,1.63.0,600.0254615000449,157.81905745784752,75.0
aws-sdk-autoscaling,1.70.0,600.0144465409685,528.0325352500658,79.0
aws-sdk-autoscalingplans,1.62.0,600.0252328750212,162.12436545803212,75.0
aws-sdk-b2bi,1.67.0,600.0215299578849,159.26750370906666,75.0
aws-sdk-backup,1.66.0,600.0288641250227,162.4221152078826,75.0
aws-sdk-backupgateway,1.62.0,600.0183160000015,164.85009625018574,75.0
aws-sdk-backupsearch,1.11.0,600.0171868328471,165.63041912484914,75.0
aws-sdk-backupstorage,1.30.0,600.0271366671659,162.34710920904763,75.0
aws-sdk-batch,1.72.0,600.0102072081063,158.67312241718173,75.0
aws-sdk-bcmdataexports,1.60.0,600.0167453337926,159.47316912491806,75.0
aws-sdk-bcmpricingcalculator,1.15.0,600.0300512500107,158.45963745890185,75.0
aws-sdk-bedrock,1.79.0,600.0097402080428,159.84545604209416,75.0
aws-sdk-bedrockagent,1.86.0,600.0208517918363,155.28011395782232,75.0
aws-sdk-bedrockagentruntime,1.85.0,600.0127786661033,172.34500337485224,77.0
aws-sdk-bedrockdataautomation,1.13.0,600.0121036670171,162.71788237500004,75.0
