name,version,dependency_count
emscripten_main_loop,0.1.1,0.0
emsdk,0.1.1,0.0
emsend,0.1.0,61.0
emseries,0.5.1,40.0
emstr,0.2.0,1.0
emu,0.1.3,7.0
emu-audio,0.1.2,6.0
emu-audio-types,0.1.0,0.0
emu-cli,0.4.3,79.0
emu-core-audio-driver,0.1.3,5.0
emu-runner,0.1.1,2.0
emu6502,0.1.1,26.0
emu6809,0.1.2,35.0
emu_core,0.1.1,84.0
emu_driver,0.1.0,126.0
emu_glsl,0.1.0,4.0
diatomic-waker,0.2.3,0.0
diazene,1.4.1,32.0
dib,0.1.0,7.0
dibi,0.1.2,70.0
dic,0.0.0,
dic-server,0.0.0,
dice,0.1.0,0.0
dice-bag,0.2.0,11.0
dice-command-parser,0.8.0,8.0
dice-me,0.1.1,12.0
dice-roll,0.1.1,0.0
dice-roller,0.1.3,15.0
dice_forge,0.3.0,8.0
dicebag,0.2.1,14.0
dicebear,0.1.3,91.0
dicecloud_sheet_printer,0.1.0,188.0
diced,0.1.2,1.0
diced-py,0.1.2,9.0
dicedb-rs,0.1.2,47.0
dicegen,0.1.0,8.0
agave-librapay-api,0.1.0,0.0
agave-loader-v4-program,0.1.0,0.0
agave-local-cluster,0.1.0,0.0
agave-logger,0.1.0,0.0
agave-lualoader,0.1.0,0.0
agave-measure,0.1.0,0.0
agave-memory-management,0.1.0,0.0
agave-merkle-tree,0.1.0,0.0
agave-metrics,0.1.0,0.0
agave-move-loader-api,0.1.0,0.0
agave-move-loader-program,0.1.0,0.0
agave-native-loader,0.1.0,0.0
agave-net-utils,0.1.0,0.0
agave-netutil,0.1.0,0.0
agave-nohash-hasher,0.1.0,0.0
agave-noop,0.1.0,0.0
agave-noop-program,0.1.0,0.0
agave-notifier,0.1.0,0.0
agave-ownable,0.1.0,0.0
agave-perf,0.1.0,0.0
solana-idl-converter,0.2.0,16.0
solana-include-idl,0.1.0,0.0
solana-include-idl-cli,0.1.0,8.0
solana-indexer,0.7.4,433.0
solana-inflation,2.2.1,0.0
solana-inline-spl,2.2.3,52.0
solana-install,1.18.26,339.0
solana-instruction,2.2.1,51.0
solana-instructions-sysvar,2.2.1,59.0
solana-invoke,0.2.0,128.0
solana-jonc-program-counter,0.0.0,
solana-jonc-program-counter-cli,0.0.0,
solana-jonc-program-counter-client,0.0.0,
solana-json,0.1.2,139.0
solana-jsonrpc-core,0.0.0,
solana-jsonrpc-http-server,0.0.0,
solana-jsonrpc-macros,0.0.0,
solana-jsonrpc-pubsub,0.0.0,
solana-jsonrpc-server-utils,0.0.0,
solana-jsonrpc-tcp-server,0.0.0,
rarathon,0.0.1,56.0
rarbg_api,1.0.42,94.0
rarc,0.1.0,92.0
rare,0.1.0,0.0
rarena,0.4.0,19.0
rarena-allocator,0.6.0,18.0
rarg,0.1.0,0.0
rargs,0.3.0,21.0
rargsxd,0.2.6,0.0
rarity,0.3.0,38.0
rarrow,0.0.1,0.0
rart-macros,0.0.6,4.0
rart-rs,0.0.8,15.0
ras,0.1.0,0.0
ras_auth,0.1.0,126.0
ras_service,0.2.0,96.0
rasc,0.1.0,0.0
rascal,0.1.2,5.0
rascal-scheme,0.1.0,0.0
rascal_bytecode,0.1.2,0.0
irmaseal-curve,0.1.5,3.0
irmatch,0.2.0,0.0
irmin,0.3.3,10.0
iro,0.0.1,2.0
iro-cli,0.2.1,19.0
iroga,0.2.2,25.0
iroh,0.34.0,292.0
iroh-api,0.2.0,210.0
iroh-base,0.34.0,6.0
iroh-bitswap,0.2.0,148.0
iroh-blake3,1.4.5,4.0
iroh-blobs,0.34.0,319.0
iroh-bytes,0.15.0,116.0
iroh-car,0.5.1,46.0
iroh-cli,0.28.1,364.0
iroh-dns-server,0.34.0,238.0
iroh-docs,0.34.0,325.0
iroh-doctor,0.33.0,337.0
iroh-embed,0.2.0,311.0
betting,0.3.1,17.0
betty,0.1.1,91.0
between,0.1.0,2.0
between-us,1.0.0,0.0
beul,1.0.0,0.0
bevier,1.1.1,23.0
bevior_tree,0.7.0,113.0
bevis,0.1.1,7.0
bevis-derive,0.1.0,4.0
bevis-strobe,0.1.1,12.0
bevm,0.1.1,54.0
bevnet,0.1.0,111.0
bevoids,0.1.0,108.0
bevsn,0.1.0,0.0
bevy-aabb-instancing,0.11.0,108.0
bevy-aabb-instancing-011,0.9.2,108.0
bevy-add-events-macro,0.1.0,0.0
bevy-alt-ui-navigation-lite,0.3.1,109.0
bevy-animated-text,0.1.0,108.0
dalek-ff-group-mirror,0.4.1,22.0
dalek-rangeproofs,0.0.0,
daleks,0.6.0,22.0
daleth_lsp,0.1.1,
dalfs,0.1.0,125.0
dali,0.3.0,21.0
dalia,1.2.0,1.0
dalloriam-cloud-client,0.3.1,111.0
dalloriam-cloud-protocol,0.3.1,6.0
dalvik,0.2.0,0.0
dam,0.1.3,32.0
damascus,0.0.9,22.0
damaya,0.1.0,0.0
dameng-helper,0.2.4,179.0
damians_custom_datetime_parser,0.2.5,17.0
daml,0.2.2,0.0
indexmap-nostd,0.4.0,0.0
indexmap-rmw,1.6.3,1.0
indexmenow,0.1.4,43.0
indexnow,0.0.0,61.0
indexor,0.5.0,149.0
indexrs,0.5.0,2.0
indexset,0.11.2,1.0
indexsort,0.2.0,0.0
indextree,4.7.3,0.0
indextree-macros,0.1.2,9.0
indextree-ng,1.0.5,0.0
indextreemap,0.1.25,6.0
indexvec,0.5.4,0.0
indi,5.0.1,89.0
indi-client,0.0.1,0.0
indi-rs,0.1.0,32.0
india,0.0.0,0.0
indicate,0.2.1,186.0
indicatif,0.17.11,30.0
indicatif-log-bridge,0.2.3,31.0
waynest-gen,0.0.25,17.0
waynest-macros,0.0.25,4.0
waynetest,0.1.0,0.0
waynova,0.0.1,0.0
wayout,1.1.3,31.0
wayplover,0.1.2,108.0
waypwr,0.1.1,234.0
wayrs-client,1.3.0,9.0
wayrs-core,1.0.4,1.0
wayrs-cursor,0.0.0,
wayrs-egl,0.5.0,15.0
wayrs-proto-parser,3.0.1,2.0
