Crate Name,Severity Label,On lib.rs
lru-0.7.0,LOW_SEVERITY,Yes
cocoon-0.3.3,MEDIUM_SEVERITY,Yes
bronzedb-protocol-0.1.0,CRITICAL,Yes
fake-static-0.1.0,SAFE,Yes
late-static-0.3.0,HIGH_SEVERITY,Yes
autorand-0.2.2,MEDIUM_SEVERITY,Yes
ntru-0.5.6,HIGH_SEVERITY,Yes
wee_alloc-0.4.5,LOW_SEVERITY,Yes
crossbeam-utils-0.8.6,LOW_SEVERITY,Yes
fast-float-0.2.0,LOW_SEVERITY,Yes
arc-swap-0.4.7,LOW_SEVERITY,Yes
postscript-0.13.2,MEDIUM_SEVERITY,Yes
xous-0.9.50,SAFE,Yes
tokio-proto-0.1.1,MEDIUM_SEVERITY,Yes
pleaser-0.5.6,HIGH_SEVERITY,Yes
sized-chunks-0.6.2,LOW_SEVERITY,Yes
actix-utils-1.0.6,LOW_SEVERITY,Yes
marc-1.5.0,HIGH_SEVERITY,Yes
dbn-0.21.0,MEDIUM_SEVERITY,Yes
chan-0.1.23,MEDIUM_SEVERITY,Yes
http-0.1.19,LOW_SEVERITY,Yes
libafl-0.11.1,LOW_SEVERITY,Yes
ftd2xx-embedded-hal-0.9.1,HIGH_SEVERITY,Yes
nano-id-0.3.3,HIGH_SEVERITY,Yes
inventory-0.1.11,SAFE,Yes
string-interner-0.6.3,LOW_SEVERITY,Yes
whoami-1.4.1,LOW_SEVERITY,Yes
libsqlite3-sys-0.25.0,LOW_SEVERITY,Yes
versionize-0.1.9,MEDIUM_SEVERITY,Yes
conduit-hyper-0.4.1,HIGH_SEVERITY,Yes
model-0.1.2,MEDIUM_SEVERITY,Yes
arr-0.6.1,HIGH_SEVERITY,Yes
conqueue-0.3.0,MEDIUM_SEVERITY,Yes
metrics-util-0.6.2,LOW_SEVERITY,Yes
base64-0.5.1,LOW_SEVERITY,Yes
serde_yaml-0.8.3,SAFE,Yes
shlex-1.2.1,LOW_SEVERITY,Yes
truetype-0.30.0,MEDIUM_SEVERITY,Yes
concread-0.2.5,MEDIUM_SEVERITY,Yes
xsalsa20poly1305-0.9.1,LOW_SEVERITY,Yes
users-0.11.0,LOW_SEVERITY,Yes
renderdoc-0.4.0,MEDIUM_SEVERITY,Yes
resolve-0.2.0,MEDIUM_SEVERITY,Yes
ticketed_lock-0.2.0,HIGH_SEVERITY,Yes
mach-0.3.2,LOW_SEVERITY,Yes
gfx-auxil-0.10.0,UNKNOWN,Yes
libsecp256k1-rs-0.2.4,CRITICAL,Yes
branca-0.9.2,UNKNOWN,Yes
algorithmica-0.1.10,HIGH_SEVERITY,Yes
cookie-0.5.1,LOW_SEVERITY,Yes
socket2-0.3.15,LOW_SEVERITY,Yes
gtk-layer-shell-0.8.2,MEDIUM_SEVERITY,Yes
fyrox-core-0.36.2,LOW_SEVERITY,Yes
generational-arena-0.2.9,SAFE,Yes
basic_dsp_matrix-0.9.1,HIGH_SEVERITY,Yes
rosenpass-0.2.0,LOW_SEVERITY,Yes
linked_list_allocator-0.10.1,LOW_SEVERITY,Yes
glib-0.19.9,LOW_SEVERITY,Yes
zlib-rs-0.3.1,MEDIUM_SEVERITY,Yes
brotli-sys-0.3.2,SAFE,Yes
asn1_der-0.6.1,LOW_SEVERITY,Yes
lexical-6.1.1,SAFE,Yes
libsecp256k1-0.3.5,LOW_SEVERITY,Yes
atom-0.3.5,LOW_SEVERITY,Yes
bcder-0.7.2,LOW_SEVERITY,Yes
ws-0.9.2,UNKNOWN,Yes
get-size-0.1.4,LOW_SEVERITY,Yes
backoff-0.4.0,LOW_SEVERITY,Yes
alpm-rs-0.1.24,HIGH_SEVERITY,Yes
yaml-rust-0.4.0,LOW_SEVERITY,Yes
pnet-0.27.1,LOW_SEVERITY,Yes
hpack-0.3.0,SAFE,Yes
spin-0.9.7,LOW_SEVERITY,Yes
paillier-zk-0.3.0,HIGH_SEVERITY,Yes
ozone-0.1.0,CRITICAL,Yes
mopa-0.2.2,SAFE,Yes
