Crate Name,Severity Label,On lib.rs
uci-0.2.3                |,HIGH_SEVERITY,No
arelith_combat_simulator-1.5.1     |,MEDIUM_SEVERITY,No
deanonro-0.1.0             |,CRITICAL,No
drt-price-aggregator-sc-0.0.3      |,HIGH_SEVERITY,No
irmaseal-curve-0.1.5          |,MEDIUM_SEVERITY,No
emsdk-0.1.1               |,HIGH_SEVERITY,No
disasm6502-0.2.2            |,HIGH_SEVERITY,No
bevy_lightspeed4d-0.1.0         |,SAFE,No
rsdate-0.5.0              |,HIGH_SEVERITY,No
agave-noop-0.1.0            |,SAFE,No
eonil_apple_oslog-0.1.2         |,CRITICAL,No
iro-cli-0.2.1              |,CRITICAL,No
bevy_koto-0.2.0             |,CRITICAL,No
naoki_test_publish-0.2.4        |,SAFE,No
geoip-sys-0.0.14            |,HIGH_SEVERITY,No
aws-sdk-bcmdataexports-1.60.0      |,LOW_SEVERITY,No
indexmenow-0.1.4            |,HIGH_SEVERITY,No
xs233-0.3.0               |,CRITICAL,No
pkg-version-1.0.0            |,MEDIUM_SEVERITY,No
moonramp-core-0.1.22          |,SAFE,No
solana-test-utils-0.1.19        |,CRITICAL,No
daleks-0.6.0              |,CRITICAL,No
flexible-io-0.4.0            |,HIGH_SEVERITY,No
photonic-interface-cli-0.1.0      |,CRITICAL,No
crate-web-0.1.1             |,CRITICAL,No
uptest-0.1.4              |,CRITICAL,No
aws-sdk-autoscalingplans-1.62.0     |,LOW_SEVERITY,No
photon-rs-0.3.2             |,LOW_SEVERITY,No
rargsxd-0.2.6              |,HIGH_SEVERITY,No
disc-bot-0.1.0             |,HIGH_SEVERITY,No
solana-time-utils-2.2.1         |,SAFE,No
xrpl_cli-0.16.7             |,HIGH_SEVERITY,No
rscript-0.17.0             |,MEDIUM_SEVERITY,No
wayrs-proto-parser-3.0.1        |,LOW_SEVERITY,No
sc-transaction-pool-38.1.0       |,LOW_SEVERITY,No
picasso-core-0.1.0           |,HIGH_SEVERITY,No
nanohttp-0.2.1             |,SAFE,No
rscripter-0.1.1             |,CRITICAL,No
picard-core-0.0.1            |,CRITICAL,No
bellare-micali-0.1.2          |,HIGH_SEVERITY,No
nuclear-router-0.1.0          |,CRITICAL,No
solana-system-program-2.2.3       |,LOW_SEVERITY,No
emu6502-0.1.1              |,CRITICAL,No
lmdb-rs-m-0.7.8             |,HIGH_SEVERITY,No
mdbook-tools-0.1.1           |,CRITICAL,No
plotsweep-0.1.0             |,CRITICAL,No
bellos-0.0.4              |,CRITICAL,No
moonramp-lunar-core-0.1.22       |,HIGH_SEVERITY,No
bevy_kwai_interactive_live-0.1.2    |,CRITICAL,No
air-interpreter-wasm_new_it_types-0.0.3 |,SAFE,No
rust_cascade-1.5.0           |,SAFE,No
uchardet-sys-2.0.3           |,MEDIUM_SEVERITY,No
flexible-hyper-server-tls-0.6.0     |,HIGH_SEVERITY,No
neo4j_testcontainers-0.3.0       |,CRITICAL,No
crude-profiler-0.1.7          |,SAFE,No
