crate_name,version,time_taken
sc-sync-state-rpc,0.48.0,5.007877124939114
sc-sysinfo,41.0.0,4.547149332938716
sc-tracing,38.0.0,3.4280796670354903
uptest,0.1.4,600.0236969590187
sc-transaction-graph,3.0.0,3.016605250071734
uptest-cli,0.1.4,600.0212942080107
uptime,0.0.1,600.0296402908862
uptime_kuma_pusher,0.3.0,600.0390889169648
sc-transaction-pool,38.1.0,3.341819082852453
sc-utils,18.0.0,1.65738904196769
uptime_lib,0.3.1,600.0389086659998
sc-transaction-pool-api,38.1.0,2.6781052919104695
sc16is752,0.1.1,1.6190179160330445
sc2-proxy,0.1.0,1.6735333749093115
uptimer,0.2.1,600.0662553331349
uptown_funk,0.1.3,600.0239109580871
uptown_funk_macro,0.1.2,600.0481399169657
uptrace,0.19.0,600.0333384589758
bellemere,0.1.0,0.6342054998967797
sc-tracing-proc-macro,11.0.0,600.042954250006
bellhop,0.2.1,0.8685298750642687
bellhop-auth-dummy,0.2.1,0.7347490000538528
bellhop-auth-header,0.2.1,0.6850840419065207
bellhop-cli,0.2.1,1.6660088750068098
sc2-macro,1.0.0,600.0293145829346
sc2-proc-macro,1.0.0,600.0427060411312
sc2-proto,0.2.3,600.0440782080404
bellande_rust_import,0.0.1,600.0559175829403
bellhop-hook-jenkins,0.2.1,0.9118886250071228
bellhop-demo,0.2.1,1.0269581249449402
bellande_step,0.1.0,600.0246985000558
bellandeos_file_system_test,0.0.1,600.0558880418539
bellare-micali,0.1.2,600.017968165921
diskinfo,0.1.0,0.6694913329556584
bellboy,0.2.0,600.0394221669994
diskio,0.1.2,1.4819484169129282
bellframe,0.13.2,600.0419942918234
bellhop-client,0.2.1,600.0191112079192
bellissimo_auth0,0.0.4,600.0246852089185
bellman,0.14.0,600.0384387080558
bellman-keccak256,0.1.0,600.0518119160552
bellman_ce,0.8.0,600.0194439999759
bellos,0.0.4,600.0431485420559
bellpepper,0.4.1,600.0374470420647
diskit,0.1.4,600.0438351251651
disklru,0.3.3,600.0268500838429
diskmap,0.2.0,600.039459957974
