crate_name,rustsec_label,advisory_type
ark-r1cs-std,Uncategorized,Vulnerability
tokio,Uncategorized,Vulnerability
prost-types,Uncategorized,Vulnerability
ammonia,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
nalgebra,Uncategorized,Vulnerability
lettre,Uncategorized,Vulnerability
iced-x86,Uncategorized,Vulnerability
evm-core,Uncategorized,Vulnerability
comrak,Uncategorized,Vulnerability
algorithmica,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
id-map,Uncategorized,Vulnerability
fltk,Uncategorized,Vulnerability
toodee,Uncategorized,Vulnerability
xcb,Uncategorized,Vulnerability
raw-cpuid,Uncategorized,Vulnerability
async-h1,Uncategorized,Vulnerability
libpulse-binding,Uncategorized,Vulnerability
libpulse-binding,Uncategorized,Vulnerability
dirs,Uncategorized,INFOUnmaintained
directories,Uncategorized,INFOUnmaintained
crossbeam-channel,Uncategorized,Vulnerability
actix-web,Uncategorized,Vulnerability
rustsec,Uncategorized,Vulnerability
rusqlite,Uncategorized,Vulnerability
spin,Uncategorized,INFOUnmaintained
simple-slab,Uncategorized,Vulnerability
ncurses,Uncategorized,Vulnerability
rustsec-example-crate,Uncategorized,Vulnerability
fake-static,Uncategorized,Vulnerability
serde_yaml,Uncategorized,Vulnerability
rmpv,Uncategorized,Vulnerability
arr,Uncategorized,Vulnerability
streebog,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
std,Uncategorized,Vulnerability
cargo,Uncategorized,Vulnerability
paste,INFO,INFOUnmaintained
ring,INFO,INFOUnmaintained
openpgp-card-sequoia,INFO,INFOUnmaintained
backoff,INFO,INFOUnmaintained
resolve,INFO,INFOUnmaintained
fyrox-core,INFO,INFOUnsound
matrix-sdk-crypto,INFO,INFONotice
xous,INFO,INFOUnsound
glib,INFO,INFOUnsound
spl-token-swap,INFO,INFOUnsound
get-size,INFO,INFOUnmaintained
