crate_name,sherlock_label,rustsec_label,advisory_type
raw-cpuid,LOW_SEVERITY,Uncategorized,Vulnerability
svix,LOW_SEVERITY,Uncategorized,Vulnerability
arrow2,LOW_SEVERITY,Uncategorized,Vulnerability
scratchpad,HIGH_SEVERITY,CRITICAL,Vulnerability
arc-swap,LOW_SEVERITY,HIGH,Vulnerability
libp2p-deflate,LOW_SEVERITY,CRITICAL,Vulnerability
clipboard,MEDIUM_SEVERITY,INFO,INFOUnmaintained
abox,CRITICAL,HIGH,Vulnerability
orion,LOW_SEVERITY,HIGH,Vulnerability
cell-project,HIGH_SEVERITY,INFO,INFOUnsound
strason,SAFE,INFO,INFOUnmaintained
appendix,HIGH_SEVERITY,MEDIUM,Vulnerability
spirv_headers,LOW_SEVERITY,INFO,INFOUnmaintained
reffers,HIGH_SEVERITY,MEDIUM,INFOUnsound
crypto2,HIGH_SEVERITY,INFO,INFOUnsound
libp2p,LOW_SEVERITY,HIGH,Vulnerability
buttplug,MEDIUM_SEVERITY,MEDIUM,Vulnerability
ferris-says,MEDIUM_SEVERITY,INFO,INFOUnsound
age,LOW_SEVERITY,Uncategorized,Vulnerability
bam,MEDIUM_SEVERITY,CRITICAL,Vulnerability
dotenv,LOW_SEVERITY,INFO,INFOUnmaintained
pqcrypto-dilithium,HIGH_SEVERITY,INFO,INFOUnmaintained
lru,LOW_SEVERITY,Uncategorized,Vulnerability
cocoon,MEDIUM_SEVERITY,MEDIUM,Vulnerability
bronzedb-protocol,CRITICAL,INFO,INFOUnsound
fake-static,SAFE,Uncategorized,Vulnerability
late-static,HIGH_SEVERITY,HIGH,Vulnerability
autorand,MEDIUM_SEVERITY,HIGH,Vulnerability
ntru,HIGH_SEVERITY,INFO,INFOUnsound
wee_alloc,LOW_SEVERITY,INFO,INFOUnmaintained
crossbeam-utils,LOW_SEVERITY,INFO,INFOUnsound
fast-float,LOW_SEVERITY,INFO|Uncategorized,INFOUnsound|Vulnerability
postscript,MEDIUM_SEVERITY,HIGH,Vulnerability
xous,SAFE,INFO,INFOUnsound
tokio-proto,MEDIUM_SEVERITY,INFO,INFOUnmaintained
pleaser,HIGH_SEVERITY,HIGH|LOW|MEDIUM,Vulnerability
sized-chunks,LOW_SEVERITY,HIGH,Vulnerability
actix-utils,LOW_SEVERITY,CRITICAL,INFOUnsound
marc,HIGH_SEVERITY,HIGH,Vulnerability
dbn,MEDIUM_SEVERITY,Uncategorized,Vulnerability
chan,MEDIUM_SEVERITY,INFO,INFOUnmaintained
http,LOW_SEVERITY,CRITICAL|HIGH,Vulnerability
libafl,LOW_SEVERITY,INFO,INFOUnsound
ftd2xx-embedded-hal,HIGH_SEVERITY,INFO,INFOUnmaintained
nano-id,HIGH_SEVERITY,CRITICAL,Vulnerability
inventory,SAFE,INFO,INFOUnsound
