crate_name,sherlock_label,rustsec_label,advisory_type
fltk,LOW_SEVERITY,Uncategorized,Vulnerability
libwebp-sys2,MEDIUM_SEVERITY,Uncategorized,Vulnerability
xcb,LOW_SEVERITY,MEDIUM|Uncategorized,INFOUnsound|Vulnerability
dotenv_codegen,MEDIUM_SEVERITY,INFO,INFOUnmaintained
tectonic_xdv,LOW_SEVERITY,INFO,INFOUnsound
mdbook,LOW_SEVERITY,MEDIUM,Vulnerability
generator,LOW_SEVERITY,HIGH|MEDIUM,Vulnerability
chacha20,LOW_SEVERITY,HIGH,Vulnerability
slice-deque,MEDIUM_SEVERITY,CRITICAL|HIGH|INFO,INFOUnmaintained|Vulnerability
actix-web,LOW_SEVERITY,Uncategorized,Vulnerability
yottadb,HIGH_SEVERITY,CRITICAL,Vulnerability
ruzstd,LOW_SEVERITY,Uncategorized,Vulnerability
filesystem,MEDIUM_SEVERITY,INFO,INFOUnmaintained
markdown,LOW_SEVERITY,INFO,INFOUnmaintained
buf_redux,LOW_SEVERITY,INFO,INFOUnmaintained
bumpalo,LOW_SEVERITY,HIGH|INFO,INFOUnsound|Vulnerability
magnetic,HIGH_SEVERITY,MEDIUM,Vulnerability
magic-crypt,MEDIUM_SEVERITY,Uncategorized,Vulnerability
zerovec-derive,SAFE,Uncategorized,Vulnerability
trillium-client,MEDIUM_SEVERITY,Uncategorized,Vulnerability
os_str_bytes,LOW_SEVERITY,HIGH,Vulnerability
js-sandbox,HIGH_SEVERITY,Uncategorized,Vulnerability
async-h1,LOW_SEVERITY,Uncategorized,Vulnerability
abi_stable,MEDIUM_SEVERITY,HIGH,Vulnerability
rmp-serde,LOW_SEVERITY,INFO,INFOUnsound
gix-fs,LOW_SEVERITY,HIGH,Vulnerability
tough,MEDIUM_SEVERITY,HIGH,Vulnerability
inconceivable,SAFE,INFO,INFONotice
derive-com-impl,LOW_SEVERITY,Uncategorized,Vulnerability
humantime,SAFE,Uncategorized,INFOUnmaintained
stack_dst,MEDIUM_SEVERITY,CRITICAL,Vulnerability
intaglio,MEDIUM_SEVERITY,INFO,INFOUnsound
buffered-reader,LOW_SEVERITY,Uncategorized,Vulnerability
rustsec,LOW_SEVERITY,Uncategorized,Vulnerability
mmap,MEDIUM_SEVERITY,INFO,INFOUnmaintained
nphysics3d,LOW_SEVERITY,INFO,INFOUnmaintained
linked-hash-map,LOW_SEVERITY,CRITICAL,INFOUnsound
memmap,LOW_SEVERITY,INFO,INFOUnmaintained
fruity,MEDIUM_SEVERITY,Uncategorized,Vulnerability
vodozemac,MEDIUM_SEVERITY,Uncategorized,Vulnerability
conquer-once,LOW_SEVERITY,HIGH,Vulnerability
tempdir,LOW_SEVERITY,INFO,INFOUnmaintained
array-macro,LOW_SEVERITY,INFO,INFOUnsound
ncurses,MEDIUM_SEVERITY,Uncategorized,Vulnerability
alloy-json-abi,LOW_SEVERITY,Uncategorized,Vulnerability
fehler,MEDIUM_SEVERITY,INFO,INFOUnmaintained
async-nats,LOW_SEVERITY,Uncategorized,Vulnerability
alloc-cortex-m,MEDIUM_SEVERITY,INFO,INFOUnmaintained
async-graphql,LOW_SEVERITY,HIGH,Vulnerability
proc-macro-error,SAFE,INFO,INFOUnmaintained
portaudio-rs,MEDIUM_SEVERITY,CRITICAL,Vulnerability
qwutils,HIGH_SEVERITY,MEDIUM,Vulnerability
rmpv,LOW_SEVERITY,Uncategorized,Vulnerability
ckb,UNKNOWN,Uncategorized,Vulnerability
snow,LOW_SEVERITY,Uncategorized,Vulnerability
jsonrpc-quic,HIGH_SEVERITY,INFO,INFOUnmaintained
lmdb-rs,MEDIUM_SEVERITY,INFO,INFOUnsound
outer_cgi,CRITICAL,CRITICAL,Vulnerability
rulinalg,MEDIUM_SEVERITY,CRITICAL|INFO,INFOUnmaintained|Vulnerability
rust_sodium,MEDIUM_SEVERITY,INFO,INFOUnmaintained
owning_ref,SAFE,Uncategorized,Vulnerability
abomonation,LOW_SEVERITY,INFO,INFOUnsound
hickory-proto,LOW_SEVERITY,Uncategorized,Vulnerability
openssl,LOW_SEVERITY,CRITICAL|HIGH|INFO|Uncategorized,INFOUnsound|Vulnerability
ascii,LOW_SEVERITY,INFO,INFOUnsound
puccinier,CRITICAL,INFO,INFOUnmaintained
r2d2_odbc,HIGH_SEVERITY,INFO,INFOUnmaintained
lmdb,MEDIUM_SEVERITY,INFO,INFOUnmaintained
candid,LOW_SEVERITY,HIGH,Vulnerability
gdk,LOW_SEVERITY,INFO,INFOUnmaintained
libsbc,HIGH_SEVERITY,HIGH,INFOUnsound
nphysics2d,LOW_SEVERITY,INFO,INFOUnmaintained
rage,LOW_SEVERITY,Uncategorized,Vulnerability
slack-morphism,MEDIUM_SEVERITY,HIGH|Uncategorized,Vulnerability
cw0,MEDIUM_SEVERITY,INFO,INFOUnmaintained
lettre,LOW_SEVERITY,MEDIUM|Uncategorized,Vulnerability
ordnung,CRITICAL,HIGH,Vulnerability
hashconsing,MEDIUM_SEVERITY,HIGH,Vulnerability
double-checked-cell,HIGH_SEVERITY,INFO,INFOUnmaintained
unsafe-libyaml,SAFE,INFO,INFOUnsound
dync,HIGH_SEVERITY,MEDIUM,INFOUnsound
safe_core,MEDIUM_SEVERITY,INFO,INFOUnmaintained
libusb,MEDIUM_SEVERITY,INFO,INFOUnmaintained
bite,MEDIUM_SEVERITY,INFO,INFOUnsound
personnummer,SAFE,INFO,INFONotice
serde_cbor,LOW_SEVERITY,HIGH|INFO,INFOUnmaintained|Vulnerability
containers,HIGH_SEVERITY,CRITICAL,Vulnerability
rust-embed,LOW_SEVERITY,Uncategorized,Vulnerability
serde-json-wasm,LOW_SEVERITY,Uncategorized,Vulnerability
enumflags2,LOW_SEVERITY,INFO,INFOUnsound
prost-types,LOW_SEVERITY,Uncategorized,Vulnerability
chunky,HIGH_SEVERITY,HIGH,INFOUnsound
iced-x86,LOW_SEVERITY,Uncategorized,Vulnerability
tiny_future,LOW_SEVERITY,HIGH,Vulnerability
ncollide3d,LOW_SEVERITY,INFO,INFOUnmaintained
sqlx,LOW_SEVERITY,Uncategorized,Vulnerability
cosmwasm-vm,UNKNOWN,Uncategorized,Vulnerability
directories,LOW_SEVERITY,Uncategorized,INFOUnmaintained
insert_many,SAFE,HIGH,Vulnerability
rkyv,LOW_SEVERITY,HIGH,Vulnerability
lzw,LOW_SEVERITY,INFO,INFOUnmaintained
linkme,SAFE,INFO,INFOUnsound
claxon,LOW_SEVERITY,MEDIUM,Vulnerability
axum-core,SAFE,Uncategorized,Vulnerability
tiberius,LOW_SEVERITY,INFO,INFOUnmaintained
object_store,LOW_SEVERITY,LOW,Vulnerability
git-path,LOW_SEVERITY,INFO,INFOUnmaintained
odbc,MEDIUM_SEVERITY,INFO,INFOUnmaintained
max7301,LOW_SEVERITY,MEDIUM,Vulnerability
gtk-layer-shell-sys,MEDIUM_SEVERITY,INFO,INFOUnmaintained
trust-dns-server,MEDIUM_SEVERITY,HIGH|Uncategorized,Vulnerability
stderr,HIGH_SEVERITY,INFO,INFOUnmaintained
hyper,LOW_SEVERITY,CRITICAL|HIGH|INFO|MEDIUM,INFOUnsound|Vulnerability
noise_search,HIGH_SEVERITY,HIGH,Vulnerability
eyre,LOW_SEVERITY,Uncategorized,Vulnerability
tree_magic,MEDIUM_SEVERITY,INFO,INFOUnmaintained
oqs,MEDIUM_SEVERITY,Uncategorized,Vulnerability
cgc,HIGH_SEVERITY,MEDIUM,Vulnerability
plutonium,MEDIUM_SEVERITY,INFO,INFONotice
git-delta,LOW_SEVERITY,HIGH,Vulnerability
nats,LOW_SEVERITY,Uncategorized,Vulnerability
failure,LOW_SEVERITY,CRITICAL,INFOUnmaintained|INFOUnsound
may_queue,LOW_SEVERITY,MEDIUM,Vulnerability
ansi_term,SAFE,INFO,INFOUnmaintained
prost,LOW_SEVERITY,CRITICAL,Vulnerability
