name,rustsec_label,advisory_type
arrow2,UNCATEGORIZED,VULNERABILITY
rust-crypto,UNCATEGORIZED,VULNERABILITY
libp2p-core,UNCATEGORIZED,VULNERABILITY
thread_local,UNCATEGORIZED,VULNERABILITY
rustc-serialize,UNCATEGORIZED,VULNERABILITY
tower-http,UNCATEGORIZED,VULNERABILITY
ammonia,UNCATEGORIZED,VULNERABILITY
dashmap,UNCATEGORIZED,VULNERABILITY
shamir,UNCATEGORIZED,VULNERABILITY
compu-brotli-sys,UNCATEGORIZED,VULNERABILITY
brotli-sys,UNCATEGORIZED,VULNERABILITY
lru,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
rusqlite,UNCATEGORIZED,VULNERABILITY
rust-embed,UNCATEGORIZED,VULNERABILITY
simple_asn1,UNCATEGORIZED,VULNERABILITY
tokio,UNCATEGORIZED,VULNERABILITY
fruity,UNCATEGORIZED,VULNERABILITY
chrono,UNCATEGORIZED,VULNERABILITY
nix,UNCATEGORIZED,VULNERABILITY
arrow,UNCATEGORIZED,VULNERABILITY
arrow,UNCATEGORIZED,VULNERABILITY
arrow,UNCATEGORIZED,VULNERABILITY
zeroize_derive,UNCATEGORIZED,VULNERABILITY
nanorand,UNCATEGORIZED,VULNERABILITY
metrics-util,UNCATEGORIZED,VULNERABILITY
tremor-script,UNCATEGORIZED,VULNERABILITY
ckb,UNCATEGORIZED,VULNERABILITY
ckb,UNCATEGORIZED,VULNERABILITY
ckb,UNCATEGORIZED,VULNERABILITY
molecule,UNCATEGORIZED,VULNERABILITY
sha2,UNCATEGORIZED,VULNERABILITY
derive-com-impl,UNCATEGORIZED,VULNERABILITY
messagepack-rs,UNCATEGORIZED,VULNERABILITY
raw-cpuid,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
better-macro,UNCATEGORIZED,VULNERABILITY
libsecp256k1,UNCATEGORIZED,VULNERABILITY
ark-r1cs-std,UNCATEGORIZED,VULNERABILITY
tokio,UNCATEGORIZED,VULNERABILITY
prost-types,UNCATEGORIZED,VULNERABILITY
ammonia,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
nalgebra,UNCATEGORIZED,VULNERABILITY
lettre,UNCATEGORIZED,VULNERABILITY
iced-x86,UNCATEGORIZED,VULNERABILITY
evm-core,UNCATEGORIZED,VULNERABILITY
comrak,UNCATEGORIZED,VULNERABILITY
algorithmica,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
id-map,UNCATEGORIZED,VULNERABILITY
fltk,UNCATEGORIZED,VULNERABILITY
toodee,UNCATEGORIZED,VULNERABILITY
xcb,UNCATEGORIZED,VULNERABILITY
raw-cpuid,UNCATEGORIZED,VULNERABILITY
async-h1,UNCATEGORIZED,VULNERABILITY
libpulse-binding,UNCATEGORIZED,VULNERABILITY
libpulse-binding,UNCATEGORIZED,VULNERABILITY
dirs,UNCATEGORIZED,INFOUNMAINTAINED
directories,UNCATEGORIZED,INFOUNMAINTAINED
crossbeam-channel,UNCATEGORIZED,VULNERABILITY
actix-web,UNCATEGORIZED,VULNERABILITY
