name,rustsec_label,advisory_type
atom,UNCATEGORIZED,INFOUNSOUND
pnet,UNCATEGORIZED,VULNERABILITY
sodiumoxide,UNCATEGORIZED,VULNERABILITY
hyper,UNCATEGORIZED,VULNERABILITY
hyper,UNCATEGORIZED,VULNERABILITY
quinn-proto,UNCATEGORIZED,VULNERABILITY
ic-cdk,UNCATEGORIZED,VULNERABILITY
phonenumber,UNCATEGORIZED,VULNERABILITY
gix-fs,UNCATEGORIZED,VULNERABILITY
gix-worktree,UNCATEGORIZED,VULNERABILITY
gix-index,UNCATEGORIZED,VULNERABILITY
tls-listener,UNCATEGORIZED,VULNERABILITY
rustls,UNCATEGORIZED,VULNERABILITY
blurhash,UNCATEGORIZED,VULNERABILITY
phonenumber,UNCATEGORIZED,VULNERABILITY
libgit2-sys,UNCATEGORIZED,VULNERABILITY
pqc_kyber,UNCATEGORIZED,VULNERABILITY
candid,UNCATEGORIZED,VULNERABILITY
tungstenite,UNCATEGORIZED,VULNERABILITY
quinn-proto,UNCATEGORIZED,VULNERABILITY
bcder,UNCATEGORIZED,VULNERABILITY
rustls-webpki,UNCATEGORIZED,VULNERABILITY
webpki,UNCATEGORIZED,VULNERABILITY
libsqlite3-sys,UNCATEGORIZED,VULNERABILITY
libp2p,UNCATEGORIZED,VULNERABILITY
matrix-sdk-crypto,UNCATEGORIZED,VULNERABILITY
evm,UNCATEGORIZED,VULNERABILITY
slack-morphism,UNCATEGORIZED,VULNERABILITY
wasmtime,UNCATEGORIZED,VULNERABILITY
conduit-hyper,UNCATEGORIZED,VULNERABILITY
linked_list_allocator,UNCATEGORIZED,VULNERABILITY
async-graphql,UNCATEGORIZED,VULNERABILITY
juniper,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
regex,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
vm-memory,UNCATEGORIZED,VULNERABILITY
bat,UNCATEGORIZED,VULNERABILITY
pleaser,UNCATEGORIZED,VULNERABILITY
pleaser,UNCATEGORIZED,VULNERABILITY
git-delta,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
actix-http,UNCATEGORIZED,VULNERABILITY
tar,UNCATEGORIZED,VULNERABILITY
cranelift-codegen,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
rkyv,UNCATEGORIZED,VULNERABILITY
reorder,UNCATEGORIZED,VULNERABILITY
slice-deque,UNCATEGORIZED,VULNERABILITY
stackvector,UNCATEGORIZED,VULNERABILITY
uu_od,UNCATEGORIZED,VULNERABILITY
rocket,UNCATEGORIZED,INFOUNSOUND
insert_many,UNCATEGORIZED,VULNERABILITY
parse_duration,UNCATEGORIZED,VULNERABILITY
endian_trait,UNCATEGORIZED,VULNERABILITY
arenavec,UNCATEGORIZED,VULNERABILITY
quinn,UNCATEGORIZED,INFOUNSOUND
truetype,UNCATEGORIZED,VULNERABILITY
generic-array,UNCATEGORIZED,VULNERABILITY
heapless,UNCATEGORIZED,INFOUNSOUND
hyper,UNCATEGORIZED,VULNERABILITY
multiqueue,UNCATEGORIZED,VULNERABILITY
syncpool,UNCATEGORIZED,VULNERABILITY
noise_search,UNCATEGORIZED,VULNERABILITY
ms3d,UNCATEGORIZED,VULNERABILITY
postscript,UNCATEGORIZED,VULNERABILITY
model,UNCATEGORIZED,INFOUNSOUND
convec,UNCATEGORIZED,VULNERABILITY
parc,UNCATEGORIZED,VULNERABILITY
lever,UNCATEGORIZED,VULNERABILITY
kekbit,UNCATEGORIZED,VULNERABILITY
toolshed,UNCATEGORIZED,VULNERABILITY
bunch,UNCATEGORIZED,VULNERABILITY
lexer,UNCATEGORIZED,VULNERABILITY
dces,UNCATEGORIZED,VULNERABILITY
signal-simple,UNCATEGORIZED,VULNERABILITY
rcu_cell,UNCATEGORIZED,VULNERABILITY
cache,UNCATEGORIZED,VULNERABILITY
async-coap,UNCATEGORIZED,VULNERABILITY
scottqueue,UNCATEGORIZED,VULNERABILITY
v9,UNCATEGORIZED,VULNERABILITY
slock,UNCATEGORIZED,VULNERABILITY
marc,UNCATEGORIZED,VULNERABILITY
beef,UNCATEGORIZED,VULNERABILITY
libsbc,UNCATEGORIZED,INFOUNSOUND
ticketed_lock,UNCATEGORIZED,VULNERABILITY
abox,UNCATEGORIZED,VULNERABILITY
conqueue,UNCATEGORIZED,VULNERABILITY
tiny_future,UNCATEGORIZED,VULNERABILITY
unicycle,UNCATEGORIZED,VULNERABILITY
ruspiro-singleton,UNCATEGORIZED,VULNERABILITY
fil-ocl,UNCATEGORIZED,VULNERABILITY
late-static,UNCATEGORIZED,VULNERABILITY
gfwx,UNCATEGORIZED,VULNERABILITY
conquer-once,UNCATEGORIZED,VULNERABILITY
basic_dsp_matrix,UNCATEGORIZED,VULNERABILITY
abi_stable,UNCATEGORIZED,VULNERABILITY
autorand,UNCATEGORIZED,VULNERABILITY
hashconsing,UNCATEGORIZED,VULNERABILITY
aovec,UNCATEGORIZED,VULNERABILITY
av-data,UNCATEGORIZED,VULNERABILITY
cache,UNCATEGORIZED,INFOUNSOUND
glsl-layout,UNCATEGORIZED,VULNERABILITY
rusb,UNCATEGORIZED,INFOUNSOUND
arc-swap,UNCATEGORIZED,VULNERABILITY
multihash,UNCATEGORIZED,VULNERABILITY
futures-task,UNCATEGORIZED,VULNERABILITY
trust-dns-proto,UNCATEGORIZED,VULNERABILITY
yaml-rust,UNCATEGORIZED,VULNERABILITY
once_cell,UNCATEGORIZED,VULNERABILITY
flatbuffers,UNCATEGORIZED,VULNERABILITY
untrusted,UNCATEGORIZED,VULNERABILITY
trust-dns-server,UNCATEGORIZED,VULNERABILITY
obstack,UNCATEGORIZED,INFOUNSOUND
sized-chunks,UNCATEGORIZED,VULNERABILITY
asn1_der,UNCATEGORIZED,VULNERABILITY
os_str_bytes,UNCATEGORIZED,VULNERABILITY
tough,UNCATEGORIZED,VULNERABILITY
bumpalo,UNCATEGORIZED,VULNERABILITY
spin,UNCATEGORIZED,VULNERABILITY
orion,UNCATEGORIZED,VULNERABILITY
tokio-rustls,UNCATEGORIZED,VULNERABILITY
actix-http,UNCATEGORIZED,VULNERABILITY
libsecp256k1,UNCATEGORIZED,VULNERABILITY
string-interner,UNCATEGORIZED,VULNERABILITY
pancurses,UNCATEGORIZED,VULNERABILITY
http,UNCATEGORIZED,VULNERABILITY
protobuf,UNCATEGORIZED,VULNERABILITY
ordnung,UNCATEGORIZED,VULNERABILITY
ammonia,UNCATEGORIZED,VULNERABILITY
chacha20,UNCATEGORIZED,VULNERABILITY
cookie,UNCATEGORIZED,VULNERABILITY
rocket,UNCATEGORIZED,INFOUNSOUND
memoffset,UNCATEGORIZED,INFOUNSOUND
openssl-src,UNCATEGORIZED,VULNERABILITY
libp2p-core,UNCATEGORIZED,VULNERABILITY
tar,UNCATEGORIZED,VULNERABILITY
serde_cbor,UNCATEGORIZED,VULNERABILITY
chunky,UNCATEGORIZED,INFOUNSOUND
simd-json,UNCATEGORIZED,VULNERABILITY
openssl,UNCATEGORIZED,VULNERABILITY
ws,UNCATEGORIZED,VULNERABILITY
crayon,UNCATEGORIZED,INFOUNSOUND
internment,UNCATEGORIZED,VULNERABILITY
generator,UNCATEGORIZED,VULNERABILITY
rustdoc,UNCATEGORIZED,VULNERABILITY
gix-path,UNCATEGORIZED,VULNERABILITY
gitoxide-core,UNCATEGORIZED,VULNERABILITY
object_store,UNCATEGORIZED,VULNERABILITY
sudo-rs,UNCATEGORIZED,VULNERABILITY
vm-memory,UNCATEGORIZED,INFOUNSOUND
tauri,UNCATEGORIZED,VULNERABILITY
pleaser,UNCATEGORIZED,VULNERABILITY
nano-id,UNCATEGORIZED,VULNERABILITY
lz4-sys,UNCATEGORIZED,VULNERABILITY
flatbuffers,UNCATEGORIZED,VULNERABILITY
openssl-src,UNCATEGORIZED,VULNERABILITY
crossbeam-deque,UNCATEGORIZED,VULNERABILITY
hyper,UNCATEGORIZED,VULNERABILITY
grep-cli,UNCATEGORIZED,VULNERABILITY
outer_cgi,UNCATEGORIZED,VULNERABILITY
through,UNCATEGORIZED,VULNERABILITY
telemetry,UNCATEGORIZED,VULNERABILITY
adtensor,UNCATEGORIZED,VULNERABILITY
diesel,UNCATEGORIZED,VULNERABILITY
internment,UNCATEGORIZED,VULNERABILITY
stack_dst,UNCATEGORIZED,VULNERABILITY
nano_arena,UNCATEGORIZED,VULNERABILITY
byte_struct,UNCATEGORIZED,VULNERABILITY
scratchpad,UNCATEGORIZED,VULNERABILITY
bam,UNCATEGORIZED,VULNERABILITY
rand_core,UNCATEGORIZED,VULNERABILITY
yottadb,UNCATEGORIZED,VULNERABILITY
nb-connect,UNCATEGORIZED,INFOUNSOUND
array-tools,UNCATEGORIZED,VULNERABILITY
calamine,UNCATEGORIZED,VULNERABILITY
libp2p-deflate,UNCATEGORIZED,VULNERABILITY
cdr,UNCATEGORIZED,VULNERABILITY
bra,UNCATEGORIZED,VULNERABILITY
containers,UNCATEGORIZED,VULNERABILITY
sys-info,UNCATEGORIZED,VULNERABILITY
smallvec,UNCATEGORIZED,VULNERABILITY
blake2,UNCATEGORIZED,VULNERABILITY
linea,UNCATEGORIZED,VULNERABILITY
renderdoc,UNCATEGORIZED,VULNERABILITY
safe-transmute,UNCATEGORIZED,VULNERABILITY
linked-hash-map,UNCATEGORIZED,INFOUNSOUND
actix-codec,UNCATEGORIZED,VULNERABILITY
flatbuffers,UNCATEGORIZED,VULNERABILITY
failure,UNCATEGORIZED,INFOUNMAINTAINED
failure,UNCATEGORIZED,INFOUNSOUND
arrayfire,UNCATEGORIZED,VULNERABILITY
prost,UNCATEGORIZED,VULNERABILITY
ozone,UNCATEGORIZED,VULNERABILITY
compact_arena,UNCATEGORIZED,VULNERABILITY
portaudio-rs,UNCATEGORIZED,VULNERABILITY
mozwire,UNCATEGORIZED,VULNERABILITY
cbox,UNCATEGORIZED,VULNERABILITY
slice-deque,UNCATEGORIZED,VULNERABILITY
slice-deque,UNCATEGORIZED,VULNERABILITY
chttp,UNCATEGORIZED,VULNERABILITY
bitvec,UNCATEGORIZED,VULNERABILITY
lucet-runtime-internals,UNCATEGORIZED,VULNERABILITY
stack,UNCATEGORIZED,VULNERABILITY
http,UNCATEGORIZED,VULNERABILITY
libflate,UNCATEGORIZED,VULNERABILITY
rio,UNCATEGORIZED,VULNERABILITY
rand_core,UNCATEGORIZED,INFOUNSOUND
bigint,UNCATEGORIZED,INFOUNMAINTAINED
smallvec,UNCATEGORIZED,VULNERABILITY
smallvec,UNCATEGORIZED,VULNERABILITY
smallvec,UNCATEGORIZED,VULNERABILITY
image,UNCATEGORIZED,VULNERABILITY
sodiumoxide,UNCATEGORIZED,VULNERABILITY
actix-utils,UNCATEGORIZED,INFOUNSOUND
rulinalg,UNCATEGORIZED,VULNERABILITY
hyper,UNCATEGORIZED,VULNERABILITY
alpm-rs,UNCATEGORIZED,INFOUNSOUND
traitobject,UNCATEGORIZED,INFOUNSOUND
openssl,UNCATEGORIZED,VULNERABILITY
rgb,UNCATEGORIZED,INFOUNSOUND
base64,UNCATEGORIZED,VULNERABILITY
alg_ds,UNCATEGORIZED,VULNERABILITY
crossbeam,UNCATEGORIZED,VULNERABILITY
std,UNCATEGORIZED,VULNERABILITY
